Sl No,Station_Name,Category,Lat,Lng
1,Jurong East,MRT,1.333207,103.742308
2,Bukit Batok,MRT,1.349069,103.749596
3,Bukit Gombak,MRT,1.359043,103.751863
4,Choa Chu Kang,MRT,1.385417,103.744316
5,Yew Tee,MRT,1.397383,103.747523
6,Kranji,MRT,1.425302,103.762049
7,Marsiling,MRT,1.432579,103.77415
8,Woodlands,MRT,1.436984,103.786406
9,Admiralty,MRT,1.436984,103.786406
10,Sembawang,MRT,1.449133,103.82006
11,Yishun,MRT,1.429666,103.835044
12,Khatib,MRT,1.417423,103.832995
13,Yio Chu Kang,MRT,1.381765,103.844923
14,Ang Mo Kio,MRT,1.370025,103.849588
15,Bishan,MRT,1.35092,103.848206
16,Braddell,MRT,1.34055,103.847098
17,Toa Payoh,MRT,1.332405,103.847436
18,Novena,MRT,1.320089,103.843405
19,Newton,MRT,1.31383,103.838021
20,Orchard,MRT,1.304041,103.831792
21,Somerset,MRT,1.300508,103.838428
22,Dhoby Ghaut,MRT,1.299169,103.845799
23,City Hall,MRT,1.293119,103.852089
24,Raffles Place,MRT,1.284001,103.85155
25,Marina Bay,MRT,1.276481,103.854598
26,Marina South Pier,MRT,1.271422,103.863581
27,Tuas Link,MRT,1.340371,103.636866
28,Tuas West Road,MRT,1.330075,103.639636
29,Tuas Crescent,MRT,1.321091,103.649075
30,Gul Circle,MRT,1.319809,103.66083
31,Joo Koon,MRT,1.327826,103.678318
32,Pioneer,MRT,1.337645,103.69742
33,Boon Lay,MRT,1.33862,103.705817
34,Lakeside,MRT,1.344264,103.720797
35,Chinese Garden,MRT,1.342436,103.732582
36,Clementi,MRT,1.314925,103.765341
37,Dover,MRT,1.311414,103.778596
38,Buona Vista,MRT,1.307337,103.790046
39,Commonwealth,MRT,1.302439,103.798326
40,Queenstown,MRT,1.294867,103.805902
41,Redhill,MRT,1.289674,103.816787
42,Tiong Bahru,MRT,1.286555,103.826956
43,Outram Park,MRT,1.280319,103.839459
44,Tanjong Pagar,MRT,1.276385,103.846771
45,Bugis,MRT,1.300747,103.855873
46,Lavender,MRT,1.307577,103.863155
47,Kallang,MRT,1.311532,103.871372
48,Aljunied,MRT,1.316474,103.882762
49,Paya Lebar,MRT,1.318214,103.893133
50,Eunos,MRT,1.319809,103.902888
51,Kembangan,MRT,1.320998,103.913433
52,Bedok,MRT,1.324043,103.930205
53,Tanah Merah,MRT,1.327309,103.946479
54,Simei,MRT,1.343237,103.953343
55,Tampines,MRT,1.354467,103.943325
56,Pasir Ris,MRT,1.373234,103.949343
57,Expo,MRT,1.334479,103.961459
58,Changi Airport,MRT,1.357622,103.988487
59,HarbourFront,MRT,1.265453,103.820514
60,Chinatown,MRT,1.284566,103.843626
61,Clarke Quay,MRT,1.288949,103.847521
62,Little India,MRT,1.306691,103.849396
63,Farrer Park,MRT,1.312679,103.854872
64,Boon Keng,MRT,1.320091,103.861655
65,Potong Pasir,MRT,1.331316,103.868779
66,Woodleigh,MRT,1.339202,103.870727
67,Serangoon,MRT,1.349862,103.873635
68,Kovan,MRT,1.360207,103.885163
69,Hougang,MRT,1.371406,103.892533
70,Buangkok,MRT,1.382991,103.893347
71,Sengkang,MRT,1.391682,103.895475
72,Punggol,MRT,1.405191,103.902367
73,Bras Basah,MRT,1.296978,103.850715
74,Esplanade,MRT,1.293995,103.855396
75,Promenade,MRT,1.294063,103.860156
76,Nicoll Highway,MRT,1.300292,103.863449
77,Stadium,MRT,1.302847,103.875417
78,Mountbatten,MRT,1.306106,103.883175
79,Dakota,MRT,1.308474,103.888825
80,MacPherson,MRT,1.326769,103.889901
81,Tai Seng,MRT,1.33594,103.887706
82,Bartley,MRT,1.342923,103.87966
83,Lorong Chuan,MRT,1.35153,103.864957
84,Marymount,MRT,1.349089,103.839116
85,Caldecott,MRT,1.337649,103.839627
86,Botanic Gardens,MRT,1.322387,103.814905
87,Farrer Road,MRT,1.317606,103.807711
88,Holland Village,MRT,1.311189,103.796119
89,one-north,MRT,1.299854,103.787584
90,Kent Ridge,MRT,1.293629,103.784441
91,Haw Par Villa,MRT,1.283149,103.781991
92,Pasir Panjang,MRT,1.276111,103.791893
93,Labrador Park,MRT,1.27218,103.802557
94,Telok Blangah,MRT,1.270769,103.809878
95,Bayfront,MRT,1.281371,103.858998
96,Bukit Panjang,MRT,1.37834,103.762452
97,Cashew,MRT,1.369997,103.764569
98,Hillview,MRT,1.363185,103.767371
99,Beauty World,MRT,1.341607,103.775682
100,King Albert Park,MRT,1.335721,103.783203
101,Sixth Avenue,MRT,1.331221,103.79718
102,Tan Kah Kee,MRT,1.325826,103.807959
103,Stevens,MRT,1.320012,103.825964
104,Rochor,MRT,1.303601,103.852581
105,Downtown,MRT,1.27949,103.852802
106,Telok Ayer,MRT,1.282285,103.848584
107,Fort Canning,MRT,1.291631,103.844621
108,Bencoolen,MRT,1.298477,103.849984
109,Jalan Besar,MRT,1.305551,103.855443
110,Bendemeer,MRT,1.313674,103.863098
111,Geylang Bahru,MRT,1.321479,103.871457
112,Mattar,MRT,1.326878,103.883304
113,Ubi,MRT,1.330008,103.898911
114,Kaki Bukit,MRT,1.335076,103.909057
115,Bedok North,MRT,1.335268,103.918054
116,Bedok Reservoir,MRT,1.336595,103.93307
117,Tampines West,MRT,1.345583,103.938244
