,PostalDistrict,Neighbourhoods,PostalSector
0,1,"Raffles Place, Cecil, Marina, People's Park",01
1,1,"Raffles Place, Cecil, Marina, People's Park",02
2,1,"Raffles Place, Cecil, Marina, People's Park",03
3,1,"Raffles Place, Cecil, Marina, People's Park",04
4,1,"Raffles Place, Cecil, Marina, People's Park",05
5,1,"Raffles Place, Cecil, Marina, People's Park",06
6,2,"Anson, Tanjong Pagar",07
7,2,"Anson, Tanjong Pagar",08
8,3,"Bukit Merah, Queenstown, Tiong Bahru",14
9,3,"Bukit Merah, Queenstown, Tiong Bahru",15
10,3,"Bukit Merah, Queenstown, Tiong Bahru",16
11,4,"Telok Blangah, Harbourfront",09
12,4,"Telok Blangah, Harbourfront",10
13,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town",11
14,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town",12
15,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town",13
16,6,"High Street, Beach Road (part)",17
17,7,"Middle Road, Golden Mile",18
18,7,"Middle Road, Golden Mile",19
19,8,"Little India, Farrer Park, Jalan Besar, Lavender",20
20,8,"Little India, Farrer Park, Jalan Besar, Lavender",21
21,9,"Orchard, Cairnhill, River Valley",22
22,9,"Orchard, Cairnhill, River Valley",23
23,10,"Ardmore, Bukit Timah, Holland Road, Tanglin",24
24,10,"Ardmore, Bukit Timah, Holland Road, Tanglin",25
25,10,"Ardmore, Bukit Timah, Holland Road, Tanglin",26
26,10,"Ardmore, Bukit Timah, Holland Road, Tanglin",27
27,11,"Watten Estate, Novena, Thomson",28
28,11,"Watten Estate, Novena, Thomson",29
29,11,"Watten Estate, Novena, Thomson",30
30,12,"Balestier, Toa Payoh, Serangoon",31
31,12,"Balestier, Toa Payoh, Serangoon",32
32,12,"Balestier, Toa Payoh, Serangoon",33
33,13,"Macpherson, Braddell",34
34,13,"Macpherson, Braddell",35
35,13,"Macpherson, Braddell",36
36,13,"Macpherson, Braddell",37
37,14,"Geylang, Eunos",38
38,14,"Geylang, Eunos",39
39,14,"Geylang, Eunos",40
40,14,"Geylang, Eunos",41
41,15,"Katong, Joo Chiat, Amber Road",42
42,15,"Katong, Joo Chiat, Amber Road",43
43,15,"Katong, Joo Chiat, Amber Road",44
44,15,"Katong, Joo Chiat, Amber Road",45
45,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",46
46,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",47
47,16,"Bedok, Upper East Coast, Eastwood, Kew Drive",48
48,17,"Loyang, Changi",49
49,17,"Loyang, Changi",50
50,17,"Loyang, Changi",81
51,18,"Simei, Tampines, Pasir Ris",51
52,18,"Simei, Tampines, Pasir Ris",52
53,19,"Serangoon Garden, Hougang, Punggol",53
54,19,"Serangoon Garden, Hougang, Punggol",54
55,19,"Serangoon Garden, Hougang, Punggol",55
56,19,"Serangoon Garden, Hougang, Punggol",82
57,20,"Bishan, Ang Mo Kio",56
58,20,"Bishan, Ang Mo Kio",57
59,21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",58
60,21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",59
61,22,"Jurong, Tuas",60
62,22,"Jurong, Tuas",61
63,22,"Jurong, Tuas",62
64,22,"Jurong, Tuas",63
65,22,"Jurong, Tuas",64
66,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",65
67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",66
68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",67
69,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",68
70,24,"Lim Chu Kang, Tengah",69
71,24,"Lim Chu Kang, Tengah",70
72,24,"Lim Chu Kang, Tengah",71
73,25,"Kranji, Woodgrove, Woodlands",72
74,25,"Kranji, Woodgrove, Woodlands",73
75,26,"Upper Thomson, Springleaf",77
76,26,"Upper Thomson, Springleaf",78
77,27,"Yishun, Sembawang",75
78,27,"Yishun, Sembawang",76
79,28,Seletar,79
80,28,Seletar,80
